Symbol,Year
UDR,2020
ULTA,2020
USB,2020
UAA,2020
UA,2020
UNP,2020
UAL,2020
UNH,2020
UPS,2020
URI,2020
UHS,2020
UNM,2020
VLO,2020
VAR,2020
VTR,2020
VRSN,2020
VRSK,2020
VZ,2020
VRTX,2020
VFC,2020
VIAC,2020
VTRS,2020
V,2020
VNT,2020
VNO,2020
VMC,2020
WRB,2020
WAB,2020
WMT,2020
WBA,2020
DIS,2020
WM,2020
WAT,2020
WEC,2020
WFC,2020
WELL,2020
WST,2020
WDC,2020
WU,2020
WRK,2020
WY,2020
WHR,2020
WMB,2020
WLTW,2020
WYNN,2020
XEL,2020
XRX,2020
XLNX,2020
XYL,2020
YUM,2020
ZBRA,2020
ZBH,2020
ZION,2020
ZTS,2020
MMM,2019
ABT,2019
ABBV,2019
ABMD,2019
ACN,2019
ATVI,2019
ADBE,2019
AMD,2019
AAP,2019
AES,2019
AFL,2019
A,2019
APD,2019
AKAM,2019
ALK,2019
ALB,2019
ARE,2019
ALXN,2019
ALGN,2019
ALLE,2019
AGN,2019
ADS,2019
LNT,2019
ALL,2019
GOOGL,2019
GOOG,2019
MO,2019
AMZN,2019
AMCR,2019
AEE,2019
AAL,2019
AEP,2019
AXP,2019
AIG,2019
AMT,2019
AWK,2019
AMP,2019
ABC,2019
AME,2019
AMGN,2019
APH,2019
ADI,2019
ANSS,2019
ANTM,2019
AON,2019
AOS,2019
APA,2019
AIV,2019
AAPL,2019
AMAT,2019
APTV,2019
ADM,2019
ARNC,2019
ANET,2019
AJG,2019
AIZ,2019
ATO,2019
T,2019
ADSK,2019
ADP,2019
AZO,2019
AVB,2019
AVY,2019
BKR,2019
BLL,2019
BAC,2019
BK,2019
BAX,2019
BDX,2019
BRK.B,2019
BBY,2019
BIIB,2019
BLK,2019
BA,2019
BKNG,2019
BWA,2019
BXP,2019
BSX,2019
BMY,2019
AVGO,2019
BR,2019
BF.B,2019
CHRW,2019
COG,2019
CDNS,2019
CPB,2019
COF,2019
CPRI,2019
CAH,2019
KMX,2019
CCL,2019
CAT,2019
CBOE,2019
CBRE,2019
CDW,2019
CE,2019
CNC,2019
CNP,2019
CTL,2019
CERN,2019
CF,2019
SCHW,2019
CHTR,2019
CVX,2019
CMG,2019
CB,2019
CHD,2019
CI,2019
XEC,2019
CINF,2019
CTAS,2019
CSCO,2019
C,2019
CFG,2019
CTXS,2019
CLX,2019
CME,2019
CMS,2019
KO,2019
CTSH,2019
CL,2019
CMCSA,2019
CMA,2019
CAG,2019
CXO,2019
COP,2019
ED,2019
STZ,2019
COO,2019
CPRT,2019
GLW,2019
CTVA,2019
COST,2019
COTY,2019
CCI,2019
CSX,2019
CMI,2019
CVS,2019
DHI,2019
DHR,2019
DRI,2019
DVA,2019
DE,2019
DAL,2019
XRAY,2019
DVN,2019
FANG,2019
DLR,2019
DFS,2019
DISCA,2019
DISCK,2019
DISH,2019
DG,2019
DLTR,2019
D,2019
DOV,2019
DOW,2019
DTE,2019
DUK,2019
DRE,2019
DD,2019
DXC,2019
ETFC,2019
EMN,2019
ETN,2019
EBAY,2019
ECL,2019
EIX,2019
EW,2019
EA,2019
EMR,2019
ETR,2019
EOG,2019
EFX,2019
EQIX,2019
EQR,2019
ESS,2019
EL,2019
EVRG,2019
ES,2019
RE,2019
EXC,2019
